title;year;mileage;price;city;link
BMW M5 DKG;2012;174 000 km;125 000PLN;Wrocław;https://www.otomoto.pl/oferta/bmw-m5-salon-pl-serwis-aso-nowy-silnik-wtryski-oraz-komplet-hamulcow-ID6DNLh2.html#4bda2ad532
BMW M5 Standard;2006;158 280 km;105 000PLN;Wiązowna Kościelna;https://www.otomoto.pl/oferta/bmw-m5-zmienione-panewki-wydech-f1-ID6E9trB.html#4bda2ad532
BMW M5 CS;2021;10 km;899 000PLN;Łódź;https://www.otomoto.pl/oferta/bmw-m5-bmw-m5-cs-ID6Ee8mC.html#4bda2ad532
BMW M5;2020;12 200 km;629 900PLN;Katowice;https://www.otomoto.pl/oferta/bmw-m5-competition-f90-lci-bawaria-motors-katowice-fv23-ID6EeyF9.html#4bda2ad532
BMW M5 Competition;2021;5 km;749 900PLN;Warszawa;https://www.otomoto.pl/oferta/bmw-m5-odbior-grudzien-2021-ID6EdSCX.html#4bda2ad532
BMW M5 Standard;2006;164 700 km;109 700PLN;Wyszków;https://www.otomoto.pl/oferta/bmw-m5-m5-niski-przebieg-bardzo-zadbany-egzemplarz-ID6EdoKH.html#4bda2ad532
BMW M5;2012;99 500 km;159 000PLN;Białystok;https://www.otomoto.pl/oferta/bmw-m5-individual-560km-bardzo-bogata-wersja-bang-olufsen-m-fotel-szyber-dach-ID6E5xP9.html#4bda2ad532
BMW M5 Standard;2005;143 000 km;70 900PLN;Rzeszów;https://www.otomoto.pl/oferta/bmw-m5-bmw-m5-e60-5-0-v10-zadbany-niski-przebieg-dodatkowe-wyposazenie-ID6CSp6N.html#4bda2ad532
BMW M5 Standard;2001;204 966 km;62 000PLN;Tarnów;https://www.otomoto.pl/oferta/bmw-m5-bmw-m5-manual-e39-ID6E7j1U.html#4bda2ad532
BMW M5 Standard;2000;169 000 km;119 000PLN;Hrubieszów;https://www.otomoto.pl/oferta/bmw-m5-ID6E8ykQ.html#4bda2ad532
BMW M5 Standard;2005;74 000 km;145 000PLN;Poznań;https://www.otomoto.pl/oferta/bmw-m5-bmw-m5-e60-duzy-serwis-czytaj-opis-ID6BHWVn.html#4bda2ad532
BMW M5;2018;103 000 km;339 000PLN;Radom;https://www.otomoto.pl/oferta/bmw-m5-600km-skora-masaze-wentylow-grzane-fotele-head-up-h-k-kamera-360-fvat-ID6E7lpc.html#4bda2ad532
BMW M5 Standard;2005;173 500 km;94 999PLN;Świebodzin;https://www.otomoto.pl/oferta/bmw-m5-bmw-m5-e60-oryginal-ID6EbXjv.html#4bda2ad532
BMW M5;2019;26 400 km;320 000PLN;Warszawa;https://www.otomoto.pl/oferta/bmw-m5-competition-2019-od-ubezpieczalni-ID6EdM43.html#4bda2ad532
